,Name,Games Played,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,EFF,AST/TOV,STL/TOV,Age,Birthdate,College,Experience,Position,Team
142,Terrence Ross,82,2092,807,309,753,41.0,145,390,37.2,44,56,78.6,32,194,226,86,53,25,69,136,672,1.25,0.77,24.0,"February 5, 1991",University of Washington,2,SF,TOR
143,Luol Deng,72,2421,1007,369,787,46.9,78,220,35.5,191,251,76.1,103,273,376,139,65,22,108,109,1023,1.29,0.6,30.0,"April 16, 1985",Duke University,10,SF,MIA
144,Darius Miller,5,43,2,1,7,14.3,0,1,0.0,0,0,0.0,0,1,1,2,1,0,1,8,-1,2.0,1.0,25.0,"March 21, 1990",University of Kentucky,2,SF,NOH
145,Danny Granger,30,613,188,65,162,40.1,30,84,35.7,28,37,75.7,20,60,80,17,13,6,24,67,174,0.71,0.54,32.0,"April 20, 1983",University of New Mexico,9,SF,MIA
146,Dahntay Jones,33,123,21,6,21,28.6,0,4,0.0,9,11,81.8,1,10,11,2,3,0,1,23,19,2.0,3.0,35.0,"December 27, 1980",Duke University,10,SF,LAC
147,Rasual Butler,75,1505,580,218,517,42.2,91,235,38.7,53,67,79.1,27,170,197,63,29,22,48,98,530,1.31,0.6,36.0,"May 23, 1979",La Salle University,11,SF,WAS
148,Aaron Brooks,82,1885,954,344,817,42.1,121,313,38.7,145,174,83.3,32,134,166,261,54,15,157,189,791,1.66,0.34,30.0,"January 14, 1985",University of Oregon,6,PG,CHI
149,Jorge Gutierrez,20,174,53,22,41,53.7,0,3,0.0,9,13,69.2,5,20,25,22,6,0,12,25,71,1.83,0.5,27.0,"December 27, 1988",University of California,1,PG,MIL
150,Jordan Clarkson,59,1476,703,267,596,44.8,38,121,31.4,131,158,82.9,56,135,191,206,51,12,96,109,711,2.15,0.53,23.0,"June 7, 1992",University of Missouri,R,PG,LAL
151,Jordan Farmar,36,529,167,61,158,38.6,35,97,36.1,10,11,90.9,8,34,42,67,20,5,32,52,171,2.09,0.63,29.0,"November 30, 1986","University of California, Los Angeles",7,PG,LAC
152,Langston Galloway,45,1457,533,204,511,39.9,62,176,35.2,63,78,80.8,37,153,190,150,52,12,61,129,554,2.46,0.85,24.0,"December 9, 1991",Saint Joseph's University,R,PG,NYK
153,Jrue Holiday,40,1303,592,238,534,44.6,51,135,37.8,65,76,85.5,32,103,135,274,63,23,91,110,689,3.01,0.69,25.0,"June 12, 1990","University of California, Los Angeles",5,PG,NOH
154,Lorenzo Brown,29,549,122,52,122,42.6,6,28,21.4,12,19,63.2,14,56,70,90,28,6,30,49,209,3.0,0.93,25.0,"August 26, 1990",North Carolina State University,1,PG,MIN
155,Mike Conley,70,2225,1107,393,882,44.6,107,277,38.6,214,249,85.9,29,180,209,375,89,14,156,139,1114,2.4,0.57,28.0,"October 11, 1987",Ohio State University,7,PG,MEM
156,Michael Carter-Williams,66,2150,966,364,919,39.6,36,153,23.5,202,291,69.4,64,289,353,442,111,30,253,167,1005,1.75,0.44,24.0,"October 10, 1991",Syracuse University,1,PG,PHI
157,Mo Williams,68,1980,964,341,860,39.7,119,348,34.2,163,187,87.2,22,152,174,424,46,14,172,162,907,2.47,0.27,33.0,"December 19, 1982",University of Alabama,11,PG,CHA
158,Mario Chalmers,80,2368,813,267,663,40.3,73,248,29.4,206,266,77.4,24,182,206,307,122,10,173,251,829,1.78,0.71,29.0,"May 19, 1986",University of Kansas,6,PG,MIA
159,Marcus Smart,67,1808,523,175,477,36.7,91,272,33.5,82,127,64.6,61,161,222,208,99,18,90,176,633,2.31,1.1,21.0,"March 6, 1994",Oklahoma State University,R,PG,BOS
160,Luke Ridnour,47,683,188,75,176,42.6,20,63,31.7,18,21,85.7,8,60,68,96,20,4,38,67,234,2.53,0.53,34.0,"February 13, 1981",University of Oregon,11,PG,ORL
161,Norris Cole,75,1831,573,230,558,41.2,55,176,31.3,58,81,71.6,13,146,159,255,57,15,99,124,609,2.58,0.58,27.0,"October 13, 1988",Cleveland State University,3,PG,NOH
162,Larry Drew II,12,219,46,20,58,34.5,4,26,15.4,2,3,66.7,1,14,15,45,6,0,25,13,48,1.8,0.24,25.0,"March 5, 1990","University of California, Los Angeles",R,PG,PHI
163,Phil Pressey,50,600,177,64,174,36.8,16,65,24.6,33,49,67.3,13,67,80,117,30,6,41,54,243,2.85,0.73,24.0,"February 17, 1991",University of Missouri,1,PG,BOS
164,Kyrie Irving,75,2730,1628,578,1235,46.8,157,378,41.5,315,365,86.3,55,182,237,389,114,20,186,146,1495,2.09,0.61,23.0,"March 23, 1992",Duke University,3,PG,CLE
165,Patrick Beverley,56,1727,568,204,532,38.3,115,323,35.6,45,60,75.0,67,170,237,192,59,23,83,182,653,2.31,0.71,27.0,"July 12, 1988",University of Arkansas,2,PG,HOU
166,Kyle Lowry,70,2414,1244,430,1043,41.2,132,391,33.8,252,312,80.8,54,274,328,473,109,13,173,212,1321,2.73,0.63,29.0,"March 25, 1986",Villanova University,8,PG,TOR
167,Patty Mills,51,801,351,128,336,38.1,62,182,34.1,33,40,82.5,21,54,75,87,28,2,35,58,293,2.49,0.8,27.0,"August 11, 1988",Saint Mary's College of California,5,PG,SAS
168,Kendall Marshall,28,417,118,46,101,45.5,18,46,39.1,8,9,88.9,2,26,28,86,21,0,35,26,162,2.46,0.6,24.0,"August 19, 1991",University of North Carolina,2,PG,MIL
169,Kemba Walker,62,2119,1075,378,981,38.5,85,280,30.4,234,283,82.7,35,185,220,318,89,31,100,92,981,3.18,0.89,25.0,"May 8, 1990",University of Connecticut,3,PG,CHA
170,Kalin Lucas,1,6,0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,1,0,0.0,0.0,26.0,"May 24, 1989",Michigan State University,R,PG,MEM
171,John Lucas III,21,272,98,42,104,40.4,9,29,31.0,5,5,100.0,4,12,16,60,8,0,16,18,104,3.75,0.5,33.0,"November 21, 1982",Oklahoma State University,6,PG,DET
172,AJ Price,26,324,133,51,137,37.2,15,57,26.3,16,24,66.7,6,26,32,46,7,0,14,15,110,3.29,0.5,29.0,"October 7, 1986",University of Connecticut,5,PG,PHO
173,Rajon Rondo,68,2019,608,275,645,42.6,27,86,31.4,31,78,39.7,73,300,373,538,91,7,210,153,990,2.56,0.43,29.0,"February 22, 1986",University of Kentucky,8,PG,DAL
174,Darius Morris,38,299,83,36,106,34.0,7,33,21.2,4,9,44.4,7,20,27,48,9,0,21,20,71,2.29,0.43,24.0,"January 3, 1991",University of Michigan,3,PG,NJN
175,Elfrid Payton,82,2489,731,301,708,42.5,11,42,26.2,118,214,55.1,107,242,349,533,142,20,203,193,1069,2.63,0.7,21.0,"February 22, 1994",University of Louisiana at Lafayette,R,PG,ORL
176,Shelvin Mack,55,833,299,117,292,40.1,40,127,31.5,25,31,80.6,8,71,79,155,30,2,49,32,335,3.16,0.61,25.0,"April 22, 1990",Butler University,3,PG,ATL
177,Ramon Sessions,64,1188,402,125,334,37.4,19,60,31.7,133,173,76.9,23,121,144,182,29,0,86,73,422,2.12,0.34,29.0,"April 11, 1986","University of Nevada, Reno",7,PG,WAS
178,Spencer Dinwiddie,34,455,145,51,169,30.2,12,65,18.5,31,34,91.2,4,44,48,104,19,6,33,53,168,3.15,0.58,22.0,"April 6, 1993",University of Colorado,R,PG,DET
179,Donald Sloan,53,1107,391,145,355,40.8,41,131,31.3,60,77,77.9,12,131,143,190,23,0,65,47,455,2.92,0.35,27.0,"January 15, 1988",Texas A&M University,3,PG,IND
180,Stephen Curry,80,2613,1900,653,1341,48.7,286,646,44.3,308,337,91.4,56,285,341,619,163,16,249,158,2073,2.49,0.66,27.0,"March 14, 1988",Davidson College,5,PG,GSW
181,Devin Harris,76,1685,665,219,524,41.8,95,266,35.7,132,162,81.5,13,122,135,237,78,14,85,147,709,2.79,0.92,32.0,"February 27, 1983",University of Wisconsin,10,PG,DAL
182,Derrick Rose,51,1530,904,338,835,40.5,76,271,28.0,152,187,81.3,35,126,161,251,36,16,161,63,675,1.56,0.22,27.0,"October 4, 1988",University of Memphis,5,PG,CHI
183,Steve Blake,81,1529,350,122,327,37.3,77,219,35.2,29,41,70.7,16,121,137,288,41,5,104,118,500,2.77,0.39,35.0,"February 26, 1980",University of Maryland,11,PG,POR
184,David Stockton,3,33,8,2,6,33.3,1,2,50.0,3,6,50.0,0,2,2,9,2,0,4,1,10,2.25,0.5,24.0,"June 24, 1991",Gonzaga University,R,PG,SAC
185,Darren Collison,45,1565,725,260,550,47.3,60,161,37.3,145,184,78.8,19,124,143,252,67,14,112,95,760,2.25,0.6,28.0,"August 23, 1987","University of California, Los Angeles",5,PG,SAC
186,Tim Frazier,11,240,57,21,61,34.4,5,17,29.4,10,21,47.6,6,22,28,60,8,0,25,26,77,2.4,0.32,25.0,"November 1, 1990",Pennsylvania State University,R,PG,POR
187,Damian Lillard,82,2925,1720,590,1360,43.4,196,572,34.3,344,398,86.4,49,329,378,507,97,21,222,164,1677,2.28,0.44,25.0,"July 15, 1990",Weber State University,2,PG,POR
188,Erick Green,43,410,146,61,162,37.7,14,47,29.8,10,12,83.3,7,24,31,39,12,0,14,26,111,2.79,0.86,24.0,"May 9, 1991",Virginia Polytechnic Institute and State University,R,PG,DEN
189,D.J. Augustin,82,1964,777,258,647,39.9,83,246,33.7,178,205,86.8,20,141,161,353,49,3,145,93,782,2.43,0.34,28.0,"November 10, 1987",University of Texas at Austin,6,PG,OKC
190,Cory Joseph,79,1444,535,207,411,50.4,16,44,36.4,105,143,73.4,44,148,192,188,46,17,67,105,669,2.81,0.69,24.0,"August 20, 1991",University of Texas at Austin,3,PG,SAS
191,Chris Paul,82,2857,1564,568,1170,48.5,139,349,39.8,289,321,90.0,52,324,376,838,156,15,190,203,2125,4.41,0.82,30.0,"May 6, 1985",Wake Forest University,9,PG,LAC
192,Trey Burke,76,2288,973,370,1005,36.8,124,390,31.8,109,145,75.2,31,173,204,328,65,15,124,119,790,2.65,0.52,23.0,"November 12, 1992",University of Michigan,1,PG,UTA
193,Ty Lawson,75,2665,1143,404,926,43.6,70,205,34.1,265,363,73.0,42,192,234,720,92,9,185,128,1393,3.89,0.5,28.0,"November 3, 1987",University of North Carolina,5,PG,DEN
194,C.J. Watson,57,1422,570,181,417,43.4,70,175,40.0,138,167,82.6,18,145,163,208,57,9,100,107,642,2.08,0.57,31.0,"April 17, 1984",University of Tennessee,7,PG,IND
195,Bryce Cotton,15,159,80,29,69,42.0,7,20,35.0,15,18,83.3,3,15,18,15,4,0,12,6,62,1.25,0.33,23.0,"August 11, 1992",Providence College,R,PG,UTA
196,Tyler Ennis,33,411,121,52,144,36.1,12,43,27.9,5,7,71.4,7,28,35,73,18,5,42,36,116,1.74,0.43,21.0,"August 24, 1994",Syracuse University,R,PG,PHO
197,Brian Roberts,72,1330,480,176,452,38.9,62,193,32.1,66,74,89.2,13,96,109,162,33,6,57,75,449,2.84,0.58,30.0,"December 3, 1985",University of Dayton,2,PG,CHA
198,Andre Miller,81,1253,355,145,290,50.0,7,34,20.6,58,77,75.3,37,116,153,284,32,6,104,103,562,2.73,0.31,39.0,"March 19, 1976",University of Utah,15,PG,WAS
199,Will Cherry,8,69,15,5,19,26.3,2,9,22.2,3,6,50.0,1,4,5,8,6,1,4,10,14,2.0,1.5,24.0,"February 8, 1991",University of Montana,R,PG,CLE
200,Zach LaVine,77,1902,778,286,677,42.2,57,167,34.1,149,177,84.2,27,187,214,276,54,10,193,158,720,1.43,0.28,20.0,"March 10, 1995","University of California, Los Angeles",R,PG,MIN
201,Eric Bledsoe,81,2800,1377,468,1046,44.7,88,272,32.4,353,441,80.0,72,351,423,493,127,45,274,189,1525,1.8,0.46,26.0,"December 9, 1989",University of Kentucky,4,PG,PHO
202,Dwight Buycks,6,123,52,18,40,45.0,7,11,63.6,9,10,90.0,2,10,12,14,3,0,12,3,46,1.17,0.25,26.0,"March 6, 1989",Marquette University,1,PG,LAL
203,Shane Larkin,76,1865,470,187,432,43.3,35,116,30.2,61,78,78.2,29,147,176,226,93,9,83,150,629,2.72,1.12,23.0,"October 2, 1992",University of Miami,1,PG,NYK
204,J.J. Barea,77,1362,580,225,536,42.0,54,167,32.3,76,94,80.9,23,111,134,263,33,1,70,104,612,3.76,0.47,31.0,"June 26, 1984",Northeastern University,8,PG,DAL
205,Ray McCallum,68,1436,503,206,470,43.8,34,111,30.6,57,84,67.9,52,128,180,188,45,11,85,92,551,2.21,0.53,24.0,"June 12, 1991",University of Detroit Mercy,1,PG,SAC
206,Jimmer Fredette,50,509,178,63,166,38.0,9,48,18.8,43,45,95.6,8,32,40,58,15,2,33,43,155,1.76,0.46,26.0,"February 25, 1989",Brigham Young University,3,PG,NOH
207,Jerryd Bayless,77,1717,598,220,516,42.6,37,120,30.8,121,137,88.3,22,189,211,233,59,12,133,163,668,1.75,0.44,27.0,"August 20, 1988",University of Arizona,6,PG,MIL
208,Raymond Felton,29,281,108,43,106,40.6,10,34,29.4,12,15,80.0,2,24,26,41,11,4,18,17,106,2.28,0.61,31.0,"June 26, 1984",University of North Carolina,9,PG,DAL
209,Jeremy Lin,74,1907,832,277,654,42.4,65,176,36.9,213,268,79.5,26,170,196,339,82,32,166,189,883,2.04,0.49,27.0,"August 23, 1988",Harvard University,4,PG,LAL
210,Jerel McNeal,6,36,9,3,11,27.3,1,2,50.0,2,2,100.0,0,3,3,2,3,1,5,5,5,0.4,0.6,28.0,"June 1, 1987",Marquette University,R,PG,PHO
211,Jeff Teague,73,2228,1162,408,887,46.0,71,207,34.3,275,319,86.2,30,154,184,513,125,31,205,139,1287,2.5,0.61,27.0,"June 10, 1988",Wake Forest University,5,PG,ATL
212,Reggie Jackson,77,2268,1117,432,996,43.4,72,241,29.9,181,218,83.0,56,271,327,462,62,9,186,167,1190,2.48,0.33,25.0,"April 16, 1990",Boston College,3,PG,OKC
213,Jarrett Jack,80,2241,957,359,817,43.9,39,146,26.7,200,227,88.1,19,226,245,373,75,13,191,143,987,1.95,0.39,32.0,"October 28, 1983",Georgia Institute of Technology,9,PG,NJN
214,Jannero Pargo,9,73,41,15,35,42.9,9,22,40.9,2,2,100.0,0,3,3,8,0,0,3,8,29,2.67,0.0,36.0,"October 22, 1979",University of Arkansas,10,PG,CHA
215,Gal Mekel,4,43,6,3,20,15.0,0,3,0.0,0,0,0.0,0,1,1,13,2,0,2,1,3,6.5,1.0,27.0,"March 4, 1988",Wichita State University,1,PG,NOH
216,Ronnie Price,43,982,221,77,223,34.5,31,109,28.4,36,45,80.0,19,50,69,165,67,4,52,118,319,3.17,1.29,32.0,"June 21, 1983",Utah Valley State College,9,PG,LAL
217,Jameer Nelson,63,1406,523,205,504,40.7,89,258,34.5,24,36,66.7,33,113,146,253,47,6,109,136,555,2.32,0.43,33.0,"February 9, 1982",Saint Joseph's University,10,PG,DAL
218,Rodney Stuckey,71,1874,896,332,754,44.0,55,141,39.0,177,216,81.9,36,212,248,219,56,10,118,131,850,1.86,0.48,29.0,"April 21, 1986",Eastern Washington University,7,PG,IND
219,Greivis Vasquez,82,1991,775,296,725,40.8,133,351,37.9,50,66,75.8,22,194,216,302,46,10,119,177,785,2.54,0.39,28.0,"January 16, 1987",University of Maryland,4,PG,TOR
220,George Hill,43,1267,692,255,535,47.7,69,193,35.8,113,143,79.0,25,154,179,220,44,14,69,111,770,3.19,0.64,29.0,"May 4, 1986",Indiana University-Purdue University Indianapolis,6,PG,IND
221,Isaiah Thomas,67,1726,1101,335,796,42.1,129,346,37.3,302,348,86.8,33,120,153,284,57,5,143,150,950,1.99,0.4,26.0,"February 7, 1989",University of Washington,3,PG,BOS
222,Isaiah Canaan,47,938,432,146,378,38.6,91,246,37.0,49,60,81.7,18,69,87,98,29,3,62,83,344,1.58,0.47,24.0,"May 21, 1991",Murray State University,1,PG,PHI
223,Russ Smith,12,65,30,8,25,32.0,2,11,18.2,12,13,92.3,1,5,6,8,3,0,12,13,17,0.67,0.25,24.0,"April 19, 1991",University of Louisville,R,PG,MEM
224,Seth Curry,2,8,0,0,3,0.0,0,1,0.0,0,0,0.0,0,2,2,1,0,0,0,2,0,0.0,0.0,25.0,"August 23, 1990",Duke University,1,PG,PHO
225,Ryan Anderson,61,1675,833,291,729,39.9,122,359,34.0,129,151,85.4,108,187,295,55,33,20,62,113,714,0.89,0.53,27.0,"May 6, 1988",University of California,6,PF,NOH
226,Shavlik Randolph,21,126,24,9,35,25.7,0,5,0.0,6,12,50.0,16,22,38,4,5,3,3,16,39,1.33,1.67,32.0,"November 24, 1983",Duke University,7,PF,BOS
227,Shawne Williams,63,1087,341,121,300,40.3,64,178,36.0,35,40,87.5,36,130,166,44,25,21,30,135,383,1.47,0.83,24.0,"March 27, 1991",Western Michigan University,R,PF,IND
228,Udonis Haslem,62,995,261,107,239,44.8,2,10,20.0,45,64,70.3,71,187,258,46,21,13,41,113,407,1.12,0.51,35.0,"June 9, 1980",University of Florida,11,PF,MIA
229,Tyler Hansbrough,74,1058,270,86,165,52.1,1,7,14.3,97,139,69.8,106,159,265,21,30,15,20,141,460,1.05,1.5,30.0,"November 3, 1985",University of North Carolina,5,PF,TOR
230,Mike Scott,68,1123,529,201,453,44.4,66,192,34.4,61,77,79.2,45,154,199,75,25,3,39,83,524,1.92,0.64,27.0,"July 16, 1988",University of Virginia,2,PF,ATL
231,Ryan Kelly,52,1233,332,104,309,33.7,45,134,33.6,79,95,83.2,13,133,146,92,30,24,37,118,366,2.49,0.81,24.0,"April 9, 1991",Duke University,1,PF,LAL
232,Mitch McGary,32,485,201,88,165,53.3,0,2,0.0,25,40,62.5,53,112,165,14,16,16,31,72,289,0.45,0.52,23.0,"June 6, 1992",University of Michigan,R,PF,OKC
233,Terrence Jones,33,889,386,158,299,52.8,13,37,35.1,57,94,60.6,78,142,220,36,18,59,37,78,504,0.97,0.49,23.0,"January 9, 1992",University of Kentucky,2,PF,HOU
234,Quincy Miller,10,120,29,9,38,23.7,3,18,16.7,8,11,72.7,4,16,20,8,7,5,5,9,32,1.6,1.4,23.0,"November 18, 1992",Baylor University,2,PF,SAC
235,Taj Gibson,62,1692,640,254,506,50.2,0,0,0.0,132,184,71.7,162,234,396,71,36,75,77,162,837,0.92,0.47,30.0,"June 24, 1985",University of Southern California,5,PF,CHI
236,Nick Collison,66,1101,273,106,253,41.9,16,60,26.7,45,65,69.2,90,160,250,90,35,25,45,156,461,2.0,0.78,35.0,"October 26, 1980",University of Kansas,10,PF,OKC
237,Quincy Acy,68,1287,398,152,331,45.9,18,60,30.0,76,97,78.4,79,222,301,68,27,22,60,147,556,1.13,0.45,25.0,"October 6, 1990",Baylor University,2,PF,NYK
238,Trevor Booker,79,1564,567,226,464,48.7,29,84,34.5,86,148,58.1,139,258,397,83,43,41,88,144,743,0.94,0.49,28.0,"November 25, 1987",Clemson University,4,PF,UTA
239,Reggie Evans,47,764,176,58,137,42.3,0,2,0.0,60,97,61.9,97,202,299,32,22,5,45,91,373,0.71,0.49,35.0,"May 18, 1980",University of Iowa,12,PF,SAC
240,Paul Millsap,73,2390,1218,443,930,47.6,77,216,35.6,255,337,75.7,139,431,570,223,130,69,166,201,1475,1.34,0.78,30.0,"February 10, 1985",Louisiana Tech University,8,PF,ATL
241,Mike Muscala,40,502,197,83,151,55.0,9,22,40.9,22,25,88.0,52,67,119,25,16,19,21,52,284,1.19,0.76,24.0,"July 1, 1991",Bucknell University,1,PF,ATL
242,Steve Novak,35,197,63,22,56,39.3,19,48,39.6,0,2,0.0,2,20,22,11,0,2,5,23,57,2.2,0.0,32.0,"June 13, 1983",Marquette University,8,PF,OKC
243,Noah Vonleh,25,259,83,30,76,39.5,5,13,38.5,18,26,69.2,28,58,86,4,4,9,11,20,121,0.36,0.36,20.0,"August 24, 1995",Indiana University,R,PF,CHA
244,Spencer Hawes,73,1274,425,163,415,39.3,55,176,31.3,44,68,64.7,30,228,258,88,24,53,61,173,511,1.44,0.39,27.0,"April 28, 1988",University of Washington,7,PF,LAC
245,Johnny O'Bryant III,34,368,100,44,120,36.7,0,0,0.0,12,27,44.4,26,38,64,17,5,4,25,44,74,0.68,0.2,22.0,"June 1, 1993",Louisiana State University,R,PF,MIL
246,Glen Davis,74,904,294,117,255,45.9,0,4,0.0,60,95,63.2,43,126,169,39,41,21,39,132,352,1.0,1.05,29.0,"January 1, 1986",Louisiana State University,7,PF,LAC
247,Ed Davis,79,1840,656,282,469,60.1,0,0,0.0,92,189,48.7,230,370,600,94,49,98,58,202,1155,1.62,0.85,26.0,"June 5, 1989",University of North Carolina,4,PF,LAL
248,Derrick Favors,74,2280,1187,482,918,52.5,1,6,16.7,222,332,66.9,196,411,607,112,60,123,121,210,1422,0.93,0.5,24.0,"July 15, 1991",Georgia Institute of Technology,4,PF,UTA
249,Draymond Green,79,2490,921,339,765,44.3,111,329,33.7,132,200,66.0,114,533,647,291,123,99,133,253,1454,2.19,0.93,25.0,"March 4, 1990",Michigan State University,2,PF,GSW
250,Drew Gooden,51,864,277,110,276,39.9,23,59,39.0,34,44,77.3,72,151,223,49,21,9,28,91,375,1.75,0.75,34.0,"September 24, 1981",University of Kansas,12,PF,WAS
251,Drew Gordon,9,71,17,8,19,42.1,0,3,0.0,1,2,50.0,7,11,18,2,1,0,8,7,18,0.25,0.13,25.0,"July 12, 1990",University of New Mexico,R,PF,PHI
252,Dwight Powell,29,236,90,31,67,46.3,3,11,27.3,25,33,75.8,18,32,50,9,9,6,11,40,109,0.82,0.82,24.0,"July 20, 1991",Stanford University,R,PF,DAL
253,Earl Clark,10,93,27,11,30,36.7,4,14,28.6,1,4,25.0,1,22,23,3,3,4,6,12,32,0.5,0.5,27.0,"January 17, 1988",University of Louisville,5,PF,NJN
254,Grant Jerrett,8,51,16,7,26,26.9,1,15,6.7,1,1,100.0,2,7,9,3,2,2,3,11,10,1.0,0.67,22.0,"July 8, 1993",University of Arizona,R,PF,UTA
255,David West,66,1895,769,323,686,47.1,4,20,20.0,119,161,73.9,108,341,449,223,48,48,120,160,1012,1.86,0.4,35.0,"August 29, 1980",Xavier University,11,PF,IND
256,Greg Monroe,69,2137,1098,423,853,49.6,0,0,0.0,252,336,75.0,229,475,704,142,78,34,149,148,1393,0.95,0.52,25.0,"June 4, 1990",Georgetown University,4,PF,DET
257,Greg Smith,42,363,80,30,49,61.2,0,0,0.0,20,39,51.3,26,53,79,9,7,11,11,53,137,0.82,0.64,24.0,"January 8, 1991","California State University, Fresno",3,PF,DAL
258,Jack Cooley,16,87,27,9,22,40.9,0,0,0.0,9,21,42.9,10,15,25,1,6,3,3,23,34,0.33,2.0,24.0,"April 4, 1991",University of Notre Dame,R,PF,UTA
259,James Johnson,70,1370,554,238,404,58.9,11,51,21.6,67,102,65.7,61,196,257,95,54,70,79,155,750,1.2,0.68,28.0,"February 20, 1987",Wake Forest University,5,PF,TOR
260,James Michael McAdoo,15,137,62,24,44,54.5,0,0,0.0,14,25,56.0,15,22,37,2,5,9,6,21,78,0.33,0.83,22.0,"January 4, 1993",University of North Carolina,R,PF,GSW
261,JaMychal Green,24,164,62,27,47,57.4,0,6,0.0,8,10,80.0,19,26,45,4,5,5,14,25,85,0.29,0.36,25.0,"June 21, 1990",University of Alabama,R,PF,SAS
262,DeJuan Blair,29,180,56,26,57,45.6,0,0,0.0,4,6,66.7,16,40,56,3,7,1,13,41,77,0.23,0.54,26.0,"April 22, 1989",University of Pittsburgh,5,PF,WAS
263,David Lee,49,904,388,160,313,51.1,0,2,0.0,68,104,65.4,81,176,257,85,31,26,49,83,549,1.74,0.63,32.0,"April 29, 1983",University of Florida,9,PF,GSW
264,Jason Maxiell,61,878,203,81,192,42.2,0,0,0.0,41,71,57.7,86,117,203,19,18,44,29,96,317,0.66,0.62,32.0,"February 18, 1983",University of Cincinnati,9,PF,CHA
265,Brandon Bass,82,1929,866,344,683,50.4,9,32,28.1,169,214,79.0,139,259,398,104,41,32,83,140,974,1.25,0.49,30.0,"April 30, 1985",Louisiana State University,9,PF,BOS
266,Aaron Gordon,47,797,243,93,208,44.7,13,48,27.1,44,61,72.1,46,123,169,33,21,22,38,83,318,0.87,0.55,20.0,"September 16, 1995",University of Arizona,R,PF,ORL
267,Adreian Payne,32,740,213,91,220,41.4,1,9,11.1,30,46,65.2,48,114,162,30,19,9,44,88,244,0.68,0.43,24.0,"February 19, 1991",Michigan State University,R,PF,ATL
268,Andrew Nicholson,40,492,194,83,190,43.7,13,41,31.7,15,25,60.0,17,65,82,22,6,12,24,51,175,0.92,0.25,26.0,"December 8, 1989",St. Bonaventure University,2,PF,ORL
269,Anthony Bennett,57,894,298,125,297,42.1,7,23,30.4,41,64,64.1,52,164,216,48,27,16,36,87,374,1.33,0.75,22.0,"March 14, 1993","University of Nevada, Las Vegas",1,PF,MIN
270,Anthony Davis,68,2455,1656,642,1199,53.5,1,12,8.3,371,461,80.5,173,523,696,149,100,200,95,141,2059,1.57,1.05,22.0,"March 11, 1993",University of Kentucky,2,PF,NOH
271,Blake Griffin,67,2356,1469,574,1144,50.2,10,25,40.0,311,427,72.8,126,382,508,354,63,35,152,196,1591,2.33,0.41,26.0,"March 16, 1989",University of Oklahoma,4,PF,LAC
272,Brandon Davies,27,423,142,55,137,40.1,8,34,23.5,24,37,64.9,38,45,83,30,18,7,29,59,156,1.03,0.62,24.0,"July 25, 1991",Brigham Young University,1,PF,PHI
273,Darrell Arthur,58,988,382,155,384,40.4,26,110,23.6,46,59,78.0,53,118,171,57,48,26,47,146,395,1.21,1.02,27.0,"March 25, 1988",University of Kansas,5,PF,DEN
274,Cameron Bairstow,18,64,10,3,14,21.4,0,0,0.0,4,5,80.0,6,2,8,1,2,1,3,8,7,0.33,0.67,25.0,"December 7, 1990",University of New Mexico,R,PF,CHI
275,Carl Landry,70,1192,503,190,369,51.5,0,0,0.0,123,150,82.0,99,169,268,26,15,17,54,132,569,0.48,0.28,32.0,"September 19, 1983",Purdue University,7,PF,SAC
276,Carlos Boozer,71,1692,836,371,743,49.9,0,0,0.0,94,150,62.7,111,371,482,95,41,12,92,184,946,1.03,0.45,34.0,"November 20, 1981",Duke University,12,PF,LAL
277,Channing Frye,75,1870,549,191,487,39.2,136,346,39.3,31,35,88.6,27,266,293,94,47,39,78,191,644,1.21,0.6,32.0,"May 17, 1983",University of Arizona,8,PF,ORL
278,Cory Jefferson,50,531,183,75,167,44.9,2,15,13.3,31,54,57.4,47,98,145,16,10,21,20,61,240,0.8,0.5,25.0,"December 26, 1990",Baylor University,R,PF,NJN
279,Dante Cunningham,66,1652,340,155,339,45.7,1,10,10.0,29,47,61.7,70,186,256,50,46,37,35,101,492,1.43,1.31,28.0,"April 22, 1987",Villanova University,5,PF,NOH
280,Jared Sullinger,58,1566,770,311,708,43.9,52,184,28.3,96,129,74.4,147,294,441,134,44,42,78,153,923,1.72,0.56,23.0,"March 4, 1992",Ohio State University,2,PF,BOS
281,Zach Randolph,71,2304,1143,454,932,48.7,7,20,35.0,228,298,76.5,225,522,747,153,69,14,156,175,1422,0.98,0.44,34.0,"July 16, 1981",Michigan State University,13,PF,MEM
282,Kevin Love,75,2532,1228,413,952,43.4,144,392,36.7,258,321,80.4,142,589,731,168,51,39,122,140,1493,1.38,0.42,27.0,"September 7, 1988","University of California, Los Angeles",6,PF,CLE
283,Marvin Williams,78,2035,577,210,495,42.4,95,265,35.8,62,87,71.3,58,328,386,100,69,36,60,146,798,1.67,1.15,29.0,"June 19, 1986",University of North Carolina,9,PF,CHA
284,Kyle O'Quinn,51,824,294,119,242,49.2,12,43,27.9,44,57,77.2,46,153,199,59,31,39,55,110,431,1.07,0.56,25.0,"March 26, 1990",Norfolk State University,2,PF,ORL
